source	creator	date	title	identifier	publisher
http://obvil.github.io/critique2000/tei/bpt6k6294028g.xml	Hauréau, Barthélemy (1812-1896)	1885	Histoire littéraire de la France,.... 29-33, Suite du quatorzième siècle. Tome 31 / ouvrage commencé par des religieux de la Congrégation de Saint-Maur et continué par des membres de l'Institut (Académie des Inscriptions et Belles-Lettres)	http://gallica.bnf.fr/ark:/12148/bpt6k6294028g	Impr. nationale (Paris)
http://obvil.github.io/critique2000/tei/bpt6k6294310t.xml	Barral, Pierre (170.-1772)	1762	Lettre à M	http://gallica.bnf.fr/ark:/12148/bpt6k6294310t	[s.n.]
http://obvil.github.io/critique2000/tei/bpt6k62952131.xml	Hauréau, Barthélemy (1812-1896)	1885	Histoire littéraire de la France,.... 29-33, Suite du quatorzième siècle. Tome 33 / ouvrage commencé par des religieux de la Congrégation de Saint-Maur et continué par des membres de l'Institut (Académie des Inscriptions et Belles-Lettres)	http://gallica.bnf.fr/ark:/12148/bpt6k62952131	Impr. nationale (Paris)
http://obvil.github.io/critique2000/tei/bpt6k62986474.xml	Weiss, Jean-Jacques (1827-1891)	1902	Notes et impressions, choix de lettres (2e éd.) / J.-J. Weiss ; préface par le prince Georges Stirbey	http://gallica.bnf.fr/ark:/12148/bpt6k62986474	Calmann Lévy (Paris)
http://obvil.github.io/critique2000/tei/bpt6k6298653v.xml	Saint-René Taillandier (1817-1879)	1848	Histoire de la jeune Allemagne : études littéraires / par M. Saint-René Taillandier,...	http://gallica.bnf.fr/ark:/12148/bpt6k6298653v	A. Franck (Paris)
http://obvil.github.io/critique2000/tei/bpt6k63033108.xml	Bail, Charles-Joseph (1777-1827)	1815	Rêveries de M. de Chateaubriant, ou Examen critique d'un libelle intitulé : De Buonaparte et des Bourbons . Par M. Bail,...	http://gallica.bnf.fr/ark:/12148/bpt6k63033108	A. Eymery (Paris)
http://obvil.github.io/critique2000/tei/bpt6k6303701p.xml	Schöll, Maximilian Samson Friedrich (1766-1833)	1823	Histoire de la littérature grecque profane, depuis son origine jusqu'à la prise de Constantinople par les Turcs. Tome 1 / , suivie d'un précis de l'histoire de la transplantation de la littérature grecque en Occident, 2e édition, entièrement refondue sur un nouveau plan... par M. Schoell	http://gallica.bnf.fr/ark:/12148/bpt6k6303701p	Gide fils (Paris)
http://obvil.github.io/critique2000/tei/bpt6k63037164.xml	Schöll, Maximilian Samson Friedrich (1766-1833)	1823	Histoire de la littérature grecque profane, depuis son origine jusqu'à la prise de Constantinople par les Turcs. Tome 5 / , suivie d'un précis de l'histoire de la transplantation de la littérature grecque en Occident, 2e édition, entièrement refondue sur un nouveau plan... par M. Schoell	http://gallica.bnf.fr/ark:/12148/bpt6k63037164	Gide fils (Paris)
http://obvil.github.io/critique2000/tei/bpt6k6305035p.xml	Schöll, Maximilian Samson Friedrich (1766-1833)	1823	Histoire de la littérature grecque profane, depuis son origine jusqu'à la prise de Constantinople par les Turcs. Tome 3 / , suivie d'un précis de l'histoire de la transplantation de la littérature grecque en Occident, 2e édition, entièrement refondue sur un nouveau plan... par M. Schoell	http://gallica.bnf.fr/ark:/12148/bpt6k6305035p	Gide fils (Paris)
http://obvil.github.io/critique2000/tei/bpt6k63050363.xml	Schöll, Maximilian Samson Friedrich (1766-1833)	1823	Histoire de la littérature grecque profane, depuis son origine jusqu'à la prise de Constantinople par les Turcs. Tome 7 / , suivie d'un précis de l'histoire de la transplantation de la littérature grecque en Occident, 2e édition, entièrement refondue sur un nouveau plan... par M. Schoell	http://gallica.bnf.fr/ark:/12148/bpt6k63050363	Gide fils (Paris)
http://obvil.github.io/critique2000/tei/bpt6k6305037h.xml	Schöll, Maximilian Samson Friedrich (1766-1833)	1823	Histoire de la littérature grecque profane, depuis son origine jusqu'à la prise de Constantinople par les Turcs. Tome 2 / , suivie d'un précis de l'histoire de la transplantation de la littérature grecque en Occident, 2e édition, entièrement refondue sur un nouveau plan... par M. Schoell	http://gallica.bnf.fr/ark:/12148/bpt6k6305037h	Gide fils (Paris)
http://obvil.github.io/critique2000/tei/bpt6k63065349.xml	Schöll, Maximilian Samson Friedrich (1766-1833)	1823	Histoire de la littérature grecque profane, depuis son origine jusqu'à la prise de Constantinople par les Turcs. Tome 4 / , suivie d'un précis de l'histoire de la transplantation de la littérature grecque en Occident, 2e édition, entièrement refondue sur un nouveau plan... par M. Schoell	http://gallica.bnf.fr/ark:/12148/bpt6k63065349	Gide fils (Paris)
http://obvil.github.io/critique2000/tei/bpt6k63066426.xml	Schöll, Maximilian Samson Friedrich (1766-1833)	1823	Histoire de la littérature grecque profane, depuis son origine jusqu'à la prise de Constantinople par les Turcs. Tome 6 / , suivie d'un précis de l'histoire de la transplantation de la littérature grecque en Occident, 2e édition, entièrement refondue sur un nouveau plan... par M. Schoell	http://gallica.bnf.fr/ark:/12148/bpt6k63066426	Gide fils (Paris)
http://obvil.github.io/critique2000/tei/bpt6k6307356h.xml	Ticknor, George (1791-1871)	1864	Histoire de la littérature espagnole. PERIODE 1 / de G. Ticknor,... ; traduite de l'anglais en français pour la première fois, avec les notes et additions des commentateurs espagnols D. Pascal de Gayangos et D. Henri de Vedia, par J.-G. Magnabal,...	http://gallica.bnf.fr/ark:/12148/bpt6k6307356h	A. Durand (Paris)
http://obvil.github.io/critique2000/tei/bpt6k6310144q.xml	Welschinger, Henri (1846-1919)	1887	La Censure sous le premier empire, avec documents inédits , par Henri Welschinger	http://gallica.bnf.fr/ark:/12148/bpt6k6310144q	Perrin (Paris)
http://obvil.github.io/critique2000/tei/bpt6k6311544d.xml	La Rochefoucauld, François de (1613-1680)	1823	Maximes de La Rochefoucauld . Nouvelle édition avec toutes les variantes, et une notice sur sa vie, par P.-R. Auguis	http://gallica.bnf.fr/ark:/12148/bpt6k6311544d	Froment (Paris)
http://obvil.github.io/critique2000/tei/bpt6k6318422n.xml	Marsan, Jules (1867-1939)	1905	La Pastorale dramatique en France à la fin du XVIe et au commencement du XVIIe siècle. Thèse pour le doctorat présentée à la Faculté des lettres de l'Université de Paris, par Jules Marsan,...	http://gallica.bnf.fr/ark:/12148/bpt6k6318422n	Hachette (Paris)
http://obvil.github.io/critique2000/tei/bpt6k6319343s.xml	Lamartine, Alphonse de (1790-1869)	1866	Balzac et ses oeuvres / par A. de Lamartine	http://gallica.bnf.fr/ark:/12148/bpt6k6319343s	Michel Lévy frères (Paris)
http://obvil.github.io/critique2000/tei/bpt6k63194916.xml	Marty-Laveaux, Charles (1823-1899)	1853	Essai sur la langue de La Fontaine, par Ch. Marty-Laveaux	http://gallica.bnf.fr/ark:/12148/bpt6k63194916	J.-B. Dumoulin (Paris)
